obs_date;name;hospitalized;uci;recovered;death;confirmed;confirmed_new;altas;fallecimientos;codigo_ine;Posicion;perc_exit;confirmedrecovered;confirmed_estimated
2020-04-10;Burgos;185; 48; 470;132;1126; 46; 470;132; 9059;42.383333,-3.666667; 21,92691; 656; 9428,57143
2020-04-10;León;274; 53; 710;230;1513; 58; 710;230;24089;42.666667,-6.0; 24,46809; 803;16428,57143
2020-04-10;Palencia;102; 19; 162; 44; 592; 47; 162; 44;34120;42.432128,-4.520647; 21,35922; 430; 3142,85714
2020-04-10;Salamanca;322; 45; 542;236;2051; 95; 542;236;37274;40.833333,-6.0; 30,33419;1509;16857,14286
2020-04-10;Segovia;152; 21; 470;132;1672;101; 470;132;40004;41.166667,-4.0; 21,92691;1202; 9428,57143
2020-04-10;Soria;101; 20; 219; 80; 898; 26; 219; 80;42173;41.666667,-2.666667; 26,75585; 679; 5714,28571
2020-04-10;Valladolid;370; 97; 724;184;1985;139; 724;184;47186;41.583333,-4.666667; 20,26432;1261;13142,85714
2020-04-10;Zamora; 93; 12; 135; 49; 406; 38; 135; 49;49275;41.75,-6.0; 26,63043; 271; 3500,00000
2020-04-11;Ávila;126; 12; 347; 94; 897; 38; 347; 94; 5019;40.616092,-4.929031; 21,31519; 550; 6714,28571
2020-04-11;Burgos;184; 49; 492;136;1170; 44; 492;136; 9059;42.383333,-3.666667; 21,65605; 678; 9714,28571
2020-04-11;León;262; 51; 751;236;1538; 25; 751;236;24089;42.666667,-6.0; 23,91084; 787;16857,14286
2020-04-11;Palencia; 96; 21; 171; 46; 605; 13; 171; 46;34120;42.432128,-4.520647; 21,19816; 434; 3285,71429
2020-04-11;Salamanca;307; 43; 579;244;2115; 64; 579;244;37274;40.833333,-6.0; 29,64763;1536;17428,57143
2020-04-11;Segovia;140; 23; 490;139;1760; 88; 490;139;40004;41.166667,-4.0; 22,09857;1270; 9928,57143
2020-04-11;Soria;104; 20; 228; 80; 927; 29; 228; 80;42173;41.666667,-2.666667; 25,97403; 699; 5714,28571
2020-04-11;Valladolid;322; 92; 804;195;2123;138; 804;195;47186;41.583333,-4.666667; 19,51952;1319;13928,57143
2020-04-11;Zamora; 83; 12; 148; 51; 408;  2; 148; 51;49275;41.75,-6.0; 25,62814; 260; 3642,85714
2020-04-12;Ávila;128; 10; 350; 94; 917; 20; 350; 94; 5019;40.616092,-4.929031; 21,17117; 567; 6714,28571
2020-04-12;Burgos;181; 48; 509;140;1207; 37; 509;140; 9059;42.383333,-3.666667; 21,57165; 698;10000,00000
2020-04-12;León;272; 48; 781;245;1575; 37; 781;245;24089;42.666667,-6.0; 23,87914; 794;17500,00000
2020-04-12;Palencia; 96; 21; 174; 48; 620; 15; 174; 48;34120;42.432128,-4.520647; 21,62162; 446; 3428,57143
2020-04-12;Salamanca;298; 43; 607;252;2193; 78; 607;252;37274;40.833333,-6.0; 29,33644;1586;18000,00000
2020-04-12;Segovia;140; 21; 508;146;1845; 85; 508;146;40004;41.166667,-4.0; 22,32416;1337;10428,57143
2020-04-12;Soria;101; 20; 237; 83; 990; 63; 237; 83;42173;41.666667,-2.666667; 25,93750; 753; 5928,57143
2020-04-12;Valladolid;317; 91; 833;204;2357;234; 833;204;47186;41.583333,-4.666667; 19,67213;1524;14571,42857
2020-04-12;Zamora; 78; 10; 155; 51; 414;  6; 155; 51;49275;41.75,-6.0; 24,75728; 259; 3642,85714
2020-04-13;Ávila;128; 12; 354; 96; 952; 35; 354; 96; 5019;40.616092,-4.929031; 21,33333; 598; 6857,14286
2020-04-13;Burgos;183; 47; 517;141;1232; 25; 517;141; 9059;42.383333,-3.666667; 21,42857; 715;10071,42857
2020-04-13;León;258; 46; 811;255;1679;104; 811;255;24089;42.666667,-6.0; 23,92120; 868;18214,28571
2020-04-13;Palencia; 98; 21; 177; 50; 636; 16; 177; 50;34120;42.432128,-4.520647; 22,02643; 459; 3571,42857
2020-04-13;Salamanca;289; 44; 627;258;2257; 64; 627;258;37274;40.833333,-6.0; 29,15254;1630;18428,57143
2020-04-13;Segovia;150; 20; 530;151;1913; 68; 530;151;40004;41.166667,-4.0; 22,17327;1383;10785,71429
2020-04-13;Soria; 99; 20; 242; 85;1013; 23; 242; 85;42173;41.666667,-2.666667; 25,99388; 771; 6071,42857
2020-04-13;Valladolid;321; 86; 846;210;2492;135; 846;210;47186;41.583333,-4.666667; 19,88636;1646;15000,00000
2020-04-13;Zamora; 75; 12; 162; 53; 454; 40; 162; 53;49275;41.75,-6.0; 24,65116; 292; 3785,71429
2020-04-14;Ávila;111; 12; 378;100; 966; 14; 378;100; 5019;40.616092,-4.929031; 20,92050; 588; 7142,85714
2020-04-14;Burgos;172; 46; 548;148;1257; 25; 548;148; 9059;42.383333,-3.666667; 21,26437; 709;10571,42857
2020-04-14;León;247; 46; 854;264;1865;186; 854;264;24089;42.666667,-6.0; 23,61360;1011;18857,14286
2020-04-14;Palencia; 84; 22; 192; 52; 645;  9; 192; 52;34120;42.432128,-4.520647; 21,31148; 453; 3714,28571
2020-04-14;Salamanca;276; 44; 658;261;2269; 12; 658;261;37274;40.833333,-6.0; 28,40044;1611;18642,85714
2020-04-14;Segovia;139; 21; 563;155;1994; 81; 563;155;40004;41.166667,-4.0; 21,58774;1431;11071,42857
2020-04-14;Soria; 90; 18; 257; 87;1053; 40; 257; 87;42173;41.666667,-2.666667; 25,29070; 796; 6214,28571
2020-04-14;Valladolid;291; 85; 896;216;2672;180; 896;216;47186;41.583333,-4.666667; 19,42446;1776;15428,57143
2020-04-14;Zamora; 71; 10; 175; 54; 459;  5; 175; 54;49275;41.75,-6.0; 23,58079; 284; 3857,14286
2020-04-15;Ávila;100; 12; 402;104; 987; 21; 402;104; 5019;40.616092,-4.929031; 20,55336; 585; 7428,57143
2020-04-15;Burgos;167; 46; 564;149;1320; 63; 564;149; 9059;42.383333,-3.666667; 20,89762; 756;10642,85714
2020-04-15;León;234; 44; 906;273;1935; 70; 906;273;24089;42.666667,-6.0; 23,15522;1029;19500,00000
2020-04-15;Palencia; 84; 23; 195; 53; 648;  3; 195; 53;34120;42.432128,-4.520647; 21,37097; 453; 3785,71429
2020-04-15;Salamanca;262; 44; 686;267;2291; 22; 686;267;37274;40.833333,-6.0; 28,01679;1605;19071,42857
2020-04-15;Segovia;133; 20; 582;158;2103;109; 582;158;40004;41.166667,-4.0; 21,35135;1521;11285,71429
2020-04-15;Soria; 91; 18; 265; 90;1095; 42; 265; 90;42173;41.666667,-2.666667; 25,35211; 830; 6428,57143
2020-04-15;Valladolid;256; 87; 943;223;2836;164; 943;223;47186;41.583333,-4.666667; 19,12521;1893;15928,57143
2020-04-15;Zamora; 77; 13; 182; 55; 482; 23; 182; 55;49275;41.75,-6.0; 23,20675; 300; 3928,57143
2020-04-16;Ávila; 94; 11; 417;107;1023; 36; 417;107; 5019;40.616092,-4.929031; 20,41985; 606; 7642,85714
2020-04-16;Burgos;164; 43; 583;152;1406; 86; 583;152; 9059;42.383333,-3.666667; 20,68027; 823;10857,14286
2020-04-16;León;184; 40; 957;283;2119;184; 957;283;24089;42.666667,-6.0; 22,82258;1162;20214,28571
2020-04-16;Palencia; 78; 22; 201; 54; 654;  6; 201; 54;34120;42.432128,-4.520647; 21,17647; 453; 3857,14286
2020-04-16;Salamanca;260; 44; 709;269;2379; 88; 709;269;37274;40.833333,-6.0; 27,50511;1670;19214,28571
2020-04-16;Segovia;132; 21; 599;159;2191; 88; 599;159;40004;41.166667,-4.0; 20,97625;1592;11357,14286
2020-04-16;Soria; 80; 18; 278; 91;1132; 37; 278; 91;42173;41.666667,-2.666667; 24,66125; 854; 6500,00000
2020-04-16;Valladolid;227; 85; 989;229;2946;110; 989;229;47186;41.583333,-4.666667; 18,80131;1957;16357,14286
2020-04-16;Zamora; 78; 13; 191; 57; 530; 48; 191; 57;49275;41.75,-6.0; 22,98387; 339; 4071,42857
2020-04-17;Ávila; 93;  9; 437;107;1075; 52; 437;107; 5019;40.616092,-4.929031; 19,66912; 638; 7642,85714
2020-04-17;Burgos;160; 39; 606;159;1450; 44; 606;159; 9059;42.383333,-3.666667; 20,78431; 844;11357,14286
2020-04-17;León;174; 40; 998;287;2212; 93; 998;287;24089;42.666667,-6.0; 22,33463;1214;20500,00000
2020-04-17;Palencia; 69; 22; 206; 54; 659;  5; 206; 54;34120;42.432128,-4.520647; 20,76923; 453; 3857,14286
2020-04-17;Salamanca;257; 44; 733;273;2437; 58; 733;273;37274;40.833333,-6.0; 27,13718;1704;19500,00000
2020-04-17;Segovia;118; 19; 622;161;2252; 61; 622;161;40004;41.166667,-4.0; 20,56194;1630;11500,00000
2020-04-17;Soria; 76; 17; 285; 92;1179; 47; 285; 92;42173;41.666667,-2.666667; 24,40318; 894; 6571,42857
2020-04-17;Valladolid;207; 86;1019;235;3067;121;1019;235;47186;41.583333,-4.666667; 18,74003;2048;16785,71429
2020-04-17;Zamora; 79; 12; 197; 61; 572; 42; 197; 61;49275;41.75,-6.0; 23,64341; 375; 4357,14286
