obs_date;name;hospitalized;uci;recovered;death;confirmed;confirmed_new;altas;fallecimientos;codigo_ine;Posicion;perc_exit;confirmedrecovered;confirmed_estimated
2020-03-23;Palencia; 49;  9;   2;  0;  64; 14;   2;  0;34120;42.432128,-4.520647;  0,00000;  62;    0,00000
2020-03-23;Salamanca;182; 15;  22; 24; 404; 89;  22; 24;37274;40.833333,-6.0; 52,17391; 382; 1714,28571
2020-03-23;Segovia; 72; 10;  24; 23; 223; 29;  24; 23;40004;41.166667,-4.0; 48,93617; 199; 1642,85714
2020-03-23;Soria; 37;  7;   8; 11; 140;  5;   8; 11;42173;41.666667,-2.666667; 57,89474; 132;  785,71429
2020-03-23;Valladolid;162; 27;  17; 14; 349; 47;  17; 14;47186;41.583333,-4.666667; 45,16129; 332; 1000,00000
2020-03-23;Zamora; 43; 10;   5;  4;  90; 20;   5;  4;49275;41.75,-6.0; 44,44444;  85;  285,71429
2020-03-24;Ávila; 89;  5;  23; 15; 201; 42;  23; 15; 5019;40.616092,-4.929031; 39,47368; 178; 1071,42857
2020-03-24;Burgos;166; 45;  41; 24; 392; 56;  41; 24; 9059;42.383333,-3.666667; 36,92308; 351; 1714,28571
2020-03-24;León;187; 21;  21; 24; 362; 72;  21; 24;24089;42.666667,-6.0; 53,33333; 341; 1714,28571
2020-03-24;Palencia; 42; 10;   5;  1;  72;  8;  13;  1;34120;42.432128,-4.520647; 16,66667;  67;   71,42857
2020-03-24;Salamanca;194; 22;  42; 38; 483; 79;  42; 38;37274;40.833333,-6.0; 47,50000; 441; 2714,28571
2020-03-24;Segovia; 81; 12;  32; 27; 261; 38;  32; 27;40004;41.166667,-4.0; 45,76271; 229; 1928,57143
2020-03-24;Soria; 53; 11;  14; 13; 179; 39;  14; 13;42173;41.666667,-2.666667; 48,14815; 165;  928,57143
2020-03-24;Valladolid;213; 34;  24; 17; 410; 61;  24; 17;47186;41.583333,-4.666667; 41,46341; 386; 1214,28571
2020-03-24;Zamora; 49; 10;  11;  6; 100; 10;  11;  7;49275;41.75,-6.0; 35,29412;  89;  428,57143
2020-03-25;Ávila; 88;  7;  36; 21; 226; 25;  36; 21; 5019;40.616092,-4.929031; 36,84211; 190; 1500,00000
2020-03-25;Burgos;193; 48;  55; 28; 485; 93;  55; 28; 9059;42.383333,-3.666667; 33,73494; 430; 2000,00000
2020-03-25;León;268; 28;  31; 31; 438; 76;  31; 31;24089;42.666667,-6.0; 50,00000; 407; 2214,28571
2020-03-25;Palencia; 56; 14;  11;  3;  91; 19;  11;  3;34120;42.432128,-4.520647; 21,42857;  80;  214,28571
2020-03-25;Salamanca;218; 27;  57; 46; 533; 50;  57; 46;37274;40.833333,-6.0; 44,66019; 476; 3285,71429
2020-03-25;Segovia; 90; 14;  47; 34; 300; 39;  47; 34;40004;41.166667,-4.0; 41,97531; 253; 2428,57143
2020-03-25;Soria; 61; 14;  19; 14; 263; 84;  19; 14;42173;41.666667,-2.666667; 42,42424; 244; 1000,00000
2020-03-25;Valladolid;290; 40;  36; 21; 501; 91;  36; 21;47186;41.583333,-4.666667; 36,84211; 465; 1500,00000
2020-03-25;Zamora; 49; 10;  16;  8; 103;  3;  16;  8;49275;41.75,-6.0; 33,33333;  87;  571,42857
2020-03-26;Ávila; 82;  7;  53; 27; 270; 44;  53; 27; 5019;40.616092,-4.929031; 33,75000; 217; 1928,57143
2020-03-26;Burgos;227; 48;  67; 32; 530; 45;  67; 32; 9059;42.383333,-3.666667; 32,32323; 463; 2285,71429
2020-03-26;León;298; 32;  48; 46; 516; 78;  48; 46;24089;42.666667,-6.0; 48,93617; 468; 3285,71429
2020-03-26;Palencia; 68; 14;  14;  5; 139; 48;  14;  5;34120;42.432128,-4.520647; 26,31579; 125;  357,14286
2020-03-26;Salamanca;245; 32;  73; 54; 629; 96;  73; 54;37274;40.833333,-6.0; 42,51969; 556; 3857,14286
2020-03-26;Segovia;181; 22;  62; 37; 361; 61;  62; 37;40004;41.166667,-4.0; 37,37374; 299; 2642,85714
2020-03-26;Soria; 80; 14;  32; 16; 339; 76;  32; 16;42173;41.666667,-2.666667; 33,33333; 307; 1142,85714
2020-03-26;Valladolid;332; 48;  50; 27; 598; 97;  50; 27;47186;41.583333,-4.666667; 35,06494; 548; 1928,57143
2020-03-26;Zamora; 50; 11;  24;  9; 106;  3;  24;  9;49275;41.75,-6.0; 27,27273;  82;  642,85714
2020-03-27;Ávila;137;  9;  63; 33; 342; 72;  63; 33; 5019;40.616092,-4.929031; 34,37500; 279; 2357,14286
2020-03-27;Burgos;243; 49;  95; 39; 604; 74;  95; 39; 9059;42.383333,-3.666667; 29,10448; 509; 2785,71429
2020-03-27;León;368; 34;  69; 55; 628;112;  69; 55;24089;42.666667,-6.0; 44,35484; 559; 3928,57143
2020-03-27;Palencia; 73; 14;  20;  9; 170; 31;  20;  9;34120;42.432128,-4.520647; 31,03448; 150;  642,85714
2020-03-27;Salamanca;273; 33;  97; 70; 776;147;  97; 70;37274;40.833333,-6.0; 41,91617; 679; 5000,00000
2020-03-27;Segovia;185; 25;  92; 44; 424; 63;  92; 44;40004;41.166667,-4.0; 32,35294; 332; 3142,85714
2020-03-27;Soria; 91; 13;  39; 20; 372; 33;  39; 20;42173;41.666667,-2.666667; 33,89831; 333; 1428,57143
2020-03-27;Valladolid;385; 60;  83; 39; 692; 94;  83; 39;47186;41.583333,-4.666667; 31,96721; 609; 2785,71429
2020-03-27;Zamora; 59; 12;  27; 12; 124; 18;  27; 12;49275;41.75,-6.0; 30,76923;  97;  857,14286
2020-03-28;Ávila;128; 11;  78; 38; 381; 39;  78; 38; 5019;40.616092,-4.929031; 32,75862; 303; 2714,28571
2020-03-28;Burgos;260; 49; 117; 42; 673; 69; 117; 42; 9059;42.383333,-3.666667; 26,41509; 556; 3000,00000
2020-03-28;León;407; 40;  99; 67; 726; 98;  99; 67;24089;42.666667,-6.0; 40,36145; 627; 4785,71429
2020-03-28;Palencia; 82; 14;  26; 11; 220; 50;  26; 11;34120;42.432128,-4.520647; 29,72973; 194;  785,71429
2020-03-28;Salamanca;341; 40; 131; 84; 882;106; 131; 84;37274;40.833333,-6.0; 39,06977; 751; 6000,00000
2020-03-28;Segovia;297; 22; 111; 51; 503; 79; 111; 51;40004;41.166667,-4.0; 31,48148; 392; 3642,85714
2020-03-28;Soria;105; 17;  49; 26; 431; 59;  49; 26;42173;41.666667,-2.666667; 34,66667; 382; 1857,14286
2020-03-28;Valladolid;423; 74; 114; 45; 807;115; 114; 45;47186;41.583333,-4.666667; 28,30189; 693; 3214,28571
2020-03-28;Zamora; 87; 11;  27; 16; 168; 44;  27; 16;49275;41.75,-6.0; 37,20930; 141; 1142,85714
2020-03-29;Ávila;133; 12;  82; 41; 414; 33;  82; 41; 5019;40.616092,-4.929031; 33,33333; 332; 2928,57143
2020-03-29;Burgos;274; 52; 137; 49; 719; 46; 137; 49; 9059;42.383333,-3.666667; 26,34409; 582; 3500,00000
2020-03-29;León;449; 44; 118; 77; 821; 95; 118; 77;24089;42.666667,-6.0; 39,48718; 703; 5500,00000
2020-03-29;Palencia;102; 17;  28; 13; 262; 42;  28; 13;34120;42.432128,-4.520647; 31,70732; 234;  928,57143
2020-03-29;Salamanca;333; 47; 157; 99;1030;148; 157; 99;37274;40.833333,-6.0; 38,67188; 873; 7071,42857
2020-03-29;Segovia;292; 23; 131; 58; 567; 64; 131; 58;40004;41.166667,-4.0; 30,68783; 436; 4142,85714
2020-03-29;Soria;120; 20;  61; 30; 523; 92;  61; 30;42173;41.666667,-2.666667; 32,96703; 462; 2142,85714
2020-03-29;Valladolid;434; 80; 127; 57; 886; 79; 127; 57;47186;41.583333,-4.666667; 30,97826; 759; 4071,42857
2020-03-29;Zamora; 96; 12;  30; 18; 192; 24;  30; 18;49275;41.75,-6.0; 37,50000; 162; 1285,71429
2020-03-30;Ávila;133; 12;  91; 46; 446; 32;  91; 46; 5019;40.616092,-4.929031; 33,57664; 355; 3285,71429
2020-03-30;Burgos;263; 52; 176; 61; 749; 30; 176; 61; 9059;42.383333,-3.666667; 25,73840; 573; 4357,14286
2020-03-30;León;461; 54; 139; 89; 918; 97; 139; 89;24089;42.666667,-6.0; 39,03509; 779; 6357,14286
2020-03-30;Palencia;112; 19;  33; 18; 293; 31;  33; 18;34120;42.432128,-4.520647; 35,29412; 260; 1285,71429
