ccaa.codigo.iso;obs_date;confirmed;hospitalized;uci;death;recovered;ccaa.name;perc_exit;confirmedrecovered;confirmed_estimated
RI;2020-04-12; 3358; 1141;  73; 223; 1458;La Rioja; 13,265913; 1900; 15928,57143
AN;2020-04-13;10306; 5054; 631; 836; 2032;Andalucia; 29,149233; 8274; 59714,28571
AR;2020-04-13; 4245; 1966; 280; 492;  963;Aragón; 33,814433; 3282; 35142,85714
AS;2020-04-13; 2051; 1330; 111; 156;  458;Asturias; 25,407166; 1593; 11142,85714
IB;2020-04-13; 1571;  826; 145; 118;  871;Islas Baleares; 11,931244;  700;  8428,57143
CN;2020-04-13; 1958;  771; 147; 102;  589;Canarias; 14,761216; 1369;  7285,71429
CB;2020-04-13; 1796;  853;  76; 120;  323;Cantabria; 27,088036; 1473;  8571,42857
CM;2020-04-13;14329; 7830; 486;1714; 2943;Castilla la Mancha; 36,804810;11386;122428,57143
CL;2020-04-13;13180; 6175; 308;1299; 4266;Castilla y León; 23,342318; 8914; 92785,71429
CT;2020-04-13;35197;23126;2775;3666;15967;Cataluña; 18,672643;19230;261857,14286
CE;2020-04-13;   96;    9;   4;   4;   22;Ceuta; 15,384615;   74;   285,71429
VC;2020-04-13; 9213; 4397; 581; 907; 3069;Valencia; 22,811871; 6144; 64785,71429
EX;2020-04-13; 2684; 1114; 108; 334;  578;Extremadura; 36,622807; 2106; 23857,14286
GA;2020-04-13; 7597; 2403; 133; 290; 1240;Galicia; 18,954248; 6357; 20714,28571
MD;2020-04-13;48048;10753;1299;6568;26247;Madrid; 20,015237;21801;469142,85714
MC;2020-04-13; 1487;  566;  96; 106;  476;Murcia; 18,213058; 1011;  7571,42857
NC;2020-04-13; 4150; 1705; 124; 249;  730;Navarra; 25,434116; 3420; 17785,71429
PV;2020-04-13;11226; 5679; 470; 859; 5193;País Vasco; 14,193655; 6033; 61357,14286
RI;2020-04-13; 3420; 1152;  74; 234; 1519;La Rioja; 13,348545; 1901; 16714,28571
AN;2020-04-14;10595; 5147; 665; 865; 2224;Andalucia; 28,002590; 8371; 61785,71429
AR;2020-04-14; 4338; 2006; 282; 514; 1012;Aragón; 33,682831; 3326; 36714,28571
AS;2020-04-14; 2096; 1387; 114; 166;  487;Asturias; 25,421133; 1609; 11857,14286
IB;2020-04-14; 1606;  857; 149; 125;  881;Islas Baleares; 12,425447;  725;  8928,57143
CN;2020-04-14; 1975;  781; 152; 104;  622;Canarias; 14,325069; 1353;  7428,57143
CB;2020-04-14; 1823;  873;  76; 132;  363;Cantabria; 26,666667; 1460;  9428,57143
CM;2020-04-14;14680; 7896; 495;1755; 2998;Castilla la Mancha; 36,924048;11682;125357,14286
CL;2020-04-14;13697; 6306; 306;1337; 4521;Castilla y León; 22,823489; 9176; 95500,00000
CT;2020-04-14;36505;23372;2789;3756;16651;Cataluña; 18,405449;19854;268285,71429
CE;2020-04-14;   98;    9;   4;   4;   30;Ceuta; 11,764706;   68;   285,71429
VC;2020-04-14; 9424; 4465; 588; 945; 3360;Valencia; 21,951220; 6064; 67500,00000
EX;2020-04-14; 2762; 1155; 109; 342;  615;Extremadura; 35,736677; 2147; 24428,57143
GA;2020-04-14; 7708; 2471; 128; 299; 1298;Galicia; 18,722605; 6410; 21357,14286
MD;2020-04-14;49526;10116;1244;6724;27433;Madrid; 19,685570;22093;480285,71429
MC;2020-04-14; 1520;  574;  97; 109;  513;Murcia; 17,524116; 1007;  7785,71429
NC;2020-04-14; 4246; 1731; 124; 252;  808;Navarra; 23,773585; 3438; 18000,00000
PV;2020-04-14;11475; 5750; 471; 902; 5428;País Vasco; 14,249605; 6047; 64428,57143
RI;2020-04-14; 3457; 1182;  75; 246; 1585;La Rioja; 13,435281; 1872; 17571,42857
AN;2020-04-15;10807; 5226; 671; 912; 2634;Andalucia; 25,719120; 8173; 65142,85714
AR;2020-04-15; 4566; 2108; 291; 543; 1087;Aragón; 33,312883; 3479; 38785,71429
AS;2020-04-15; 2170; 1432; 116; 168;  522;Asturias; 24,347826; 1648; 12000,00000
IB;2020-04-15; 1637;  872; 152; 131;  918;Islas Baleares; 12,488084;  719;  9357,14286
CN;2020-04-15; 1988;  802; 156; 107;  673;Canarias; 13,717949; 1315;  7642,85714
CB;2020-04-15; 1845;  890;  77; 137;  442;Cantabria; 23,661485; 1403;  9785,71429
CM;2020-04-15;15151; 7987; 503;1796; 3378;Castilla la Mancha; 34,712022;11773;128285,71429
CL;2020-04-15;14380; 6449; 307;1372; 4725;Castilla y León; 22,502870; 9655; 98000,00000
CT;2020-04-15;37354;23680;2798;3855;17297;Cataluña; 18,225227;20057;275357,14286
CE;2020-04-15;  100;    9;   4;   4;   41;Ceuta;  8,888889;   59;   285,71429
VC;2020-04-15; 9615; 4524; 625; 972; 3702;Valencia; 20,795892; 5913; 69428,57143
EX;2020-04-15; 2881; 1186; 110; 359;  649;Extremadura; 35,615079; 2232; 25642,85714
GA;2020-04-15; 7873; 2494; 123; 310; 1383;Galicia; 18,310691; 6490; 22142,85714
MD;2020-04-15;50694; 9653;1206;6877;28491;Madrid; 19,444130;22203;491214,28571
MC;2020-04-15; 1598;  575;  97; 111;  516;Murcia; 17,703349; 1082;  7928,57143
NC;2020-04-15; 4348; 1752; 124; 261;  845;Navarra; 23,598553; 3503; 18642,85714
PV;2020-04-15;11790; 5863; 478; 956; 5813;País Vasco; 14,123209; 5977; 68285,71429
RI;2020-04-15; 3916; 1207;  75; 257; 1654;La Rioja; 13,448456; 2262; 18357,14286
